Time(HH:MM:SS:sss),CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12,CV13,CV14,CV15,CV16,Cell_Diff,Module_Voltage(V),Current(A),Capacity(AH),Temp1,Temp2,Temp3,Temp_Diff
2:5:37:9930,03.134400,3.132400,3.141100,3.133600,3.135000,3.131800,3.136100,3.137100,3.133000,3.135100,3.137100,3.126700,3.135200,3.132000,3.133200,3.136700,0.014400,49.692001,-194.003998,-0.424000,28.012573,27.998428,28.064575,0.066147
2:5:38:2420,03.134400,3.132300,3.141000,3.133300,3.134400,3.131200,3.135600,3.136800,3.132700,3.134700,3.136200,3.126400,3.134600,3.131600,3.133200,3.136500,0.014600,49.683998,-194.003998,-0.440000,28.017365,27.993698,28.064575,0.070877
2:5:38:4800,03.134200,3.132400,3.140300,3.132700,3.133800,3.130700,3.135300,3.136300,3.132200,3.134100,3.135800,3.125900,3.134200,3.131000,3.132700,3.135800,0.014400,49.680000,-194.003006,-0.451000,28.022049,28.003159,28.074020,0.070862
2:5:38:7250,03.133600,3.131400,3.139900,3.132300,3.133400,3.130200,3.134800,3.135600,3.131600,3.133800,3.135600,3.125400,3.133600,3.130200,3.132100,3.135400,0.014500,49.671001,-194.003006,-0.462000,28.017365,27.998428,28.064575,0.066147
2:5:38:9590,03.133100,3.131200,3.139700,3.131800,3.133200,3.129700,3.134400,3.135200,3.131500,3.133400,3.135100,3.125200,3.133200,3.130400,3.131800,3.135200,0.014500,49.666000,-194.003006,-0.478000,28.017365,27.998428,28.064575,0.066147
2:5:39:1750,03.132700,3.130800,3.139200,3.131700,3.132900,3.129400,3.134000,3.135000,3.131000,3.132900,3.134700,3.124900,3.132800,3.129800,3.131300,3.134600,0.014300,49.660999,-194.003006,-0.489000,28.017365,27.993698,28.064575,0.070877
2:5:39:4370,03.132200,3.130200,3.139000,3.131100,3.132000,3.129000,3.133800,3.134800,3.130900,3.132500,3.134500,3.124200,3.132500,3.129600,3.131000,3.134000,0.014800,49.653999,-194.003006,-0.499000,28.017365,27.993698,28.055115,0.061417
2:5:39:6860,03.131400,3.130200,3.138600,3.130800,3.132200,3.128900,3.133400,3.134400,3.130600,3.132400,3.134200,3.124000,3.132400,3.129000,3.131000,3.134100,0.014600,49.651001,-194.003006,-0.516000,28.017365,28.007889,28.069290,0.061401
2:5:39:9210,03.131800,3.129900,3.138600,3.130400,3.131800,3.128600,3.133000,3.133700,3.129800,3.132000,3.134000,3.123400,3.131600,3.128600,3.130400,3.133600,0.015200,49.644001,-194.003006,-0.526000,28.017365,27.998428,28.055115,0.056686
2:5:40:9060,03.224400,3.224300,3.228900,3.224100,3.225000,3.224200,3.225800,3.226500,3.223000,3.224400,3.226200,3.221000,3.225200,3.223800,3.224600,3.224700,0.007900,51.599998,0.000000,0.000000,28.017365,28.003159,28.069290,0.066132
